date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2010-01-01,24,17,0.0,8.7,4,4,100,06:54 PM,07:02 AM,06:42 AM,06:11 PM,19,20,21,20,8,66,92,1.7,1013,24,7,92,5
2010-01-02,26,17,0.0,11.6,5,5,85,07:59 PM,08:00 AM,06:43 AM,06:11 PM,18,20,21,20,8,52,87,0.0,1014,26,5,86,5
2010-01-03,26,16,0.0,11.6,5,5,77,09:00 PM,08:53 AM,06:43 AM,06:12 PM,17,20,20,20,8,39,83,0.0,1014,26,8,69,5
2010-01-04,26,14,0.0,11.6,5,5,70,09:57 PM,09:41 AM,06:43 AM,06:12 PM,16,20,20,20,7,26,81,0.0,1013,26,9,93,4
2010-01-05,26,13,0.0,11.6,5,5,63,10:52 PM,10:26 AM,06:44 AM,06:13 PM,16,20,20,20,6,10,80,0.0,1011,26,7,93,3
2010-01-06,25,13,0.0,11.6,5,5,56,11:45 PM,11:10 AM,06:44 AM,06:13 PM,16,20,20,20,8,31,81,0.0,1011,25,8,107,5
2010-01-07,26,15,0.0,11.6,5,5,48,No moonrise,11:53 AM,06:45 AM,06:14 PM,16,20,21,20,8,42,82,0.0,1012,26,8,90,5
2010-01-08,27,16,0.0,11.6,6,6,41,12:38 AM,12:36 PM,06:45 AM,06:15 PM,17,21,21,21,8,38,81,0.0,1013,27,9,72,5
2010-01-09,24,16,0.0,10.2,5,5,34,01:32 AM,01:22 PM,06:45 AM,06:15 PM,19,20,21,20,8,64,91,6.1,1012,24,5,73,5
2010-01-10,24,19,0.0,7.3,5,5,27,02:25 AM,02:10 PM,06:45 AM,06:16 PM,20,21,22,21,6,78,93,4.6,1013,24,6,103,4
2010-01-11,26,17,0.0,10.2,6,6,19,03:20 AM,03:00 PM,06:46 AM,06:16 PM,19,21,22,21,6,61,87,2.6,1014,26,7,138,4
2010-01-12,26,18,0.0,8.7,5,5,12,04:13 AM,03:52 PM,06:46 AM,06:17 PM,20,22,23,22,5,71,90,6.5,1015,26,7,164,3
2010-01-13,25,18,0.0,8.7,5,5,5,05:05 AM,04:43 PM,06:46 AM,06:17 PM,20,21,22,21,4,81,94,12.1,1015,25,6,106,2
2010-01-14,25,18,0.0,11.6,6,6,0,05:54 AM,05:36 PM,06:46 AM,06:18 PM,19,21,22,21,8,72,92,3.5,1016,25,6,99,6
2010-01-15,25,16,0.0,11.6,5,5,0,06:39 AM,06:25 PM,06:47 AM,06:18 PM,18,20,21,20,11,53,88,1.0,1016,25,5,83,7
2010-01-16,26,15,0.0,11.6,5,5,2,07:22 AM,07:14 PM,06:47 AM,06:19 PM,17,20,20,20,10,52,85,0.1,1017,26,5,78,6
2010-01-17,25,15,0.0,11.6,5,5,10,08:02 AM,08:00 PM,06:47 AM,06:19 PM,16,20,20,20,10,36,81,0.1,1018,25,8,63,6
2010-01-18,26,14,0.0,11.6,5,5,17,08:39 AM,08:45 PM,06:47 AM,06:20 PM,16,20,20,20,8,29,81,0.0,1017,26,8,81,5
2010-01-19,26,15,0.0,11.6,5,5,24,09:15 AM,09:30 PM,06:47 AM,06:20 PM,17,20,21,20,8,46,83,0.0,1015,26,8,89,5
2010-01-20,24,16,0.0,11.6,5,5,31,09:51 AM,10:15 PM,06:47 AM,06:21 PM,17,20,20,20,7,51,85,0.1,1015,24,8,99,4
2010-01-21,24,16,0.0,11.6,5,5,39,10:27 AM,11:01 PM,06:47 AM,06:21 PM,17,20,20,20,7,48,86,2.0,1014,24,8,86,5
2010-01-22,26,14,0.0,11.6,5,5,46,11:06 AM,11:49 PM,06:48 AM,06:22 PM,15,20,20,20,8,27,75,0.0,1014,26,9,79,5
2010-01-23,26,15,0.0,11.6,5,5,53,11:47 AM,No moonset,06:48 AM,06:22 PM,14,20,20,20,9,31,73,0.0,1015,26,9,82,6
2010-01-24,26,12,0.0,11.6,5,5,60,12:33 PM,12:41 AM,06:48 AM,06:23 PM,14,19,20,19,7,10,73,0.0,1014,26,9,96,4
2010-01-25,26,13,0.0,11.6,5,5,68,01:25 PM,01:37 AM,06:48 AM,06:23 PM,14,20,20,20,9,17,74,0.0,1014,26,10,85,6
2010-01-26,26,14,0.0,11.6,5,5,75,02:22 PM,02:36 AM,06:48 AM,06:23 PM,15,20,20,20,9,31,77,0.0,1014,26,9,90,6
2010-01-27,26,15,0.0,11.6,6,6,82,03:25 PM,03:38 AM,06:48 AM,06:24 PM,16,21,21,21,8,43,79,0.1,1014,26,8,83,5
2010-01-28,26,17,0.0,10.2,6,6,90,04:30 PM,04:40 AM,06:48 AM,06:24 PM,17,21,22,21,9,45,79,0.0,1014,26,9,94,6
2010-01-29,27,16,0.0,11.6,6,6,97,05:36 PM,05:40 AM,06:48 AM,06:25 PM,16,21,21,21,10,29,75,0.0,1014,27,8,89,6
2010-01-30,28,15,0.0,11.6,6,6,100,06:39 PM,06:36 AM,06:48 AM,06:25 PM,15,21,22,21,8,24,71,0.0,1015,28,8,91,5
2010-01-31,28,15,0.0,11.6,6,6,100,07:40 PM,07:28 AM,06:47 AM,06:26 PM,16,21,22,21,8,25,75,0.2,1015,28,8,99,5
2010-02-01,27,16,0.0,11.6,6,6,77,08:38 PM,08:16 AM,06:47 AM,06:26 PM,16,21,22,21,7,24,74,0.0,1014,27,9,91,5
2010-02-02,28,14,0.0,11.6,6,6,69,09:34 PM,09:02 AM,06:47 AM,06:26 PM,14,21,21,21,9,16,69,0.0,1014,28,9,88,6
2010-02-03,28,14,0.0,11.6,6,6,62,10:29 PM,09:47 AM,06:47 AM,06:27 PM,12,21,21,21,11,7,61,0.0,1014,28,10,78,7
2010-02-04,28,14,0.0,11.6,5,5,54,11:25 PM,10:32 AM,06:47 AM,06:27 PM,13,21,21,21,9,7,63,0.0,1014,28,10,91,6
2010-02-05,27,14,0.0,11.6,5,5,47,No moonrise,11:19 AM,06:47 AM,06:27 PM,12,21,21,21,10,6,63,0.0,1015,27,9,81,6
2010-02-06,27,13,0.0,11.6,5,5,39,12:19 AM,12:06 PM,06:47 AM,06:28 PM,12,20,20,20,11,16,64,0.0,1015,27,9,76,7
2010-02-07,27,13,0.0,11.6,5,5,32,01:15 AM,12:56 PM,06:46 AM,06:28 PM,14,21,21,21,10,8,69,0.0,1015,27,9,79,7
2010-02-08,30,14,0.0,11.6,6,6,24,02:09 AM,01:48 PM,06:46 AM,06:28 PM,15,22,22,22,8,20,70,0.0,1013,30,9,94,5
2010-02-09,31,15,0.0,11.6,6,6,16,03:01 AM,02:40 PM,06:46 AM,06:29 PM,14,24,24,23,6,19,62,0.0,1012,31,10,136,4
2010-02-10,30,14,0.0,11.6,6,6,9,03:51 AM,03:32 PM,06:46 AM,06:29 PM,15,22,23,22,6,33,68,0.0,1012,30,9,136,4
2010-02-11,28,16,0.0,11.6,6,6,1,04:37 AM,04:22 PM,06:45 AM,06:29 PM,15,22,23,22,7,24,65,0.0,1014,28,9,99,4
2010-02-12,31,17,0.0,11.6,6,6,0,05:21 AM,05:11 PM,06:45 AM,06:29 PM,14,24,24,23,8,8,61,0.0,1014,31,10,113,5
2010-02-13,31,16,0.0,11.6,6,6,0,06:01 AM,05:58 PM,06:45 AM,06:30 PM,16,24,24,23,7,13,66,0.0,1013,31,10,142,4
2010-02-14,32,17,0.0,11.6,6,6,0,06:39 AM,06:43 PM,06:45 AM,06:30 PM,16,24,24,24,7,13,68,0.0,1011,32,9,122,4
2010-02-15,32,16,0.0,11.6,6,6,6,07:16 AM,07:28 PM,06:44 AM,06:30 PM,15,24,24,24,7,6,62,0.0,1011,32,9,114,5
2010-02-16,31,16,0.0,11.6,6,6,13,07:52 AM,08:13 PM,06:44 AM,06:30 PM,13,24,24,24,9,2,55,0.0,1012,31,10,107,6
2010-02-17,32,14,0.0,11.6,6,6,21,08:28 AM,08:59 PM,06:44 AM,06:31 PM,14,24,24,24,7,7,59,0.0,1013,32,10,119,5
2010-02-18,33,16,0.0,11.6,6,6,29,09:06 AM,09:46 PM,06:43 AM,06:31 PM,15,25,25,25,7,20,62,0.0,1014,33,9,187,5
2010-02-19,33,17,0.0,11.6,6,6,36,09:46 AM,10:35 PM,06:43 AM,06:31 PM,16,25,25,25,7,6,63,0.0,1014,33,9,141,5
2010-02-20,33,16,0.0,11.6,6,6,44,10:29 AM,11:29 PM,06:42 AM,06:31 PM,12,24,24,24,8,4,56,0.0,1014,33,10,108,5
2010-02-21,33,15,0.0,11.6,6,6,51,11:17 AM,No moonset,06:42 AM,06:32 PM,14,24,24,24,7,6,60,0.0,1014,33,10,121,4
2010-02-22,33,15,0.0,11.6,6,6,59,12:10 PM,12:24 AM,06:42 AM,06:32 PM,14,25,25,25,8,6,56,0.0,1013,33,9,104,5
2010-02-23,31,17,0.0,11.6,6,6,66,01:08 PM,01:23 AM,06:41 AM,06:32 PM,16,24,24,24,6,20,67,0.0,1013,31,10,186,4
2010-02-24,29,16,0.0,11.6,6,6,74,02:10 PM,02:23 AM,06:41 AM,06:32 PM,18,24,24,23,5,37,79,4.0,1011,29,7,244,3
