date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2010-01-01,30,21,0.0,10.9,6,6,100,06:53 PM,07:36 AM,07:15 AM,06:09 PM,13,26,26,25,16,6,49,0.0,1013,30,10,167,10
2010-01-02,30,24,0.0,10.9,7,7,85,08:01 PM,08:30 AM,07:16 AM,06:09 PM,17,27,27,26,14,16,58,0.0,1014,30,10,184,9
2010-01-03,26,23,0.0,10.9,6,6,77,09:07 PM,09:19 AM,07:16 AM,06:10 PM,17,26,26,24,15,34,65,0.3,1015,26,10,265,10
2010-01-04,27,21,0.0,10.9,6,6,70,10:09 PM,10:02 AM,07:16 AM,06:10 PM,14,25,25,24,23,0,55,0.0,1015,27,10,147,15
2010-01-05,29,20,0.0,11.0,6,6,63,11:09 PM,10:43 AM,07:16 AM,06:11 PM,12,25,25,24,23,1,48,0.0,1012,29,10,116,14
2010-01-06,30,22,0.0,11.0,7,7,56,No moonrise,11:22 AM,07:17 AM,06:12 PM,12,27,27,26,23,2,43,0.0,1012,30,10,129,14
2010-01-07,30,22,0.0,11.0,7,7,48,12:07 AM,12:00 PM,07:17 AM,06:12 PM,12,27,27,26,18,6,43,0.0,1012,30,10,170,11
2010-01-08,29,22,0.0,11.0,7,7,41,01:04 AM,12:40 PM,07:17 AM,06:13 PM,12,26,26,26,19,6,43,0.0,1013,29,10,162,11
2010-01-09,29,22,0.0,11.0,7,7,34,02:01 AM,01:22 PM,07:17 AM,06:14 PM,12,26,26,25,23,8,42,0.0,1013,29,10,167,14
2010-01-10,30,22,0.0,11.0,7,7,27,02:58 AM,02:07 PM,07:17 AM,06:14 PM,12,26,26,26,25,9,43,0.0,1013,30,10,155,16
2010-01-11,28,24,0.0,11.0,7,7,19,03:55 AM,02:55 PM,07:18 AM,06:15 PM,16,27,27,26,16,24,53,0.0,1013,28,10,90,10
2010-01-12,28,23,0.0,11.0,7,7,12,04:49 AM,03:46 PM,07:18 AM,06:16 PM,18,27,27,26,14,5,63,0.0,1014,28,10,261,9
2010-01-13,25,21,0.0,11.0,6,6,5,05:41 AM,04:39 PM,07:18 AM,06:16 PM,9,23,23,23,23,1,43,0.0,1017,25,10,137,15
2010-01-14,28,18,0.0,11.0,6,6,0,06:28 AM,05:33 PM,07:18 AM,06:17 PM,8,23,23,23,25,0,39,0.0,1018,28,10,32,16
2010-01-15,30,21,0.0,11.0,7,7,0,07:12 AM,06:25 PM,07:18 AM,06:18 PM,11,26,26,25,22,4,42,0.0,1018,30,10,128,14
2010-01-16,29,23,0.0,11.0,7,7,2,07:52 AM,07:17 PM,07:18 AM,06:18 PM,14,27,27,26,19,2,49,0.0,1019,29,10,150,11
2010-01-17,29,22,0.0,11.0,6,6,10,08:27 AM,08:07 PM,07:18 AM,06:19 PM,14,26,26,25,15,10,51,0.0,1018,29,10,175,10
2010-01-18,29,21,0.0,11.0,6,6,17,09:01 AM,08:56 PM,07:18 AM,06:20 PM,14,27,27,26,17,2,50,0.0,1017,29,10,184,11
2010-01-19,29,21,0.0,11.0,7,7,24,09:34 AM,09:45 PM,07:18 AM,06:20 PM,13,27,27,26,17,3,45,0.0,1015,29,10,147,10
2010-01-20,30,22,0.0,11.0,7,7,31,10:05 AM,10:33 PM,07:18 AM,06:21 PM,11,26,26,26,17,4,40,0.0,1016,30,10,161,10
2010-01-21,30,22,0.0,11.0,7,7,39,10:38 AM,11:24 PM,07:18 AM,06:22 PM,11,26,26,26,21,5,39,0.0,1016,30,10,165,12
2010-01-22,29,21,0.0,11.0,6,6,46,11:13 AM,No moonset,07:18 AM,06:22 PM,12,27,27,26,14,5,42,0.0,1015,29,10,190,8
2010-01-23,29,20,0.0,11.1,6,6,53,11:50 AM,12:16 AM,07:17 AM,06:23 PM,13,27,27,26,9,0,47,0.0,1015,29,10,162,6
2010-01-24,28,19,0.0,11.1,6,6,60,12:32 PM,01:11 AM,07:17 AM,06:24 PM,13,26,26,25,14,1,48,0.0,1014,28,10,243,9
2010-01-25,29,21,0.0,11.1,7,7,68,01:21 PM,02:10 AM,07:17 AM,06:24 PM,9,26,26,25,23,2,37,0.0,1014,29,10,112,14
2010-01-26,30,21,0.0,11.1,7,7,75,02:17 PM,03:12 AM,07:17 AM,06:25 PM,11,26,26,25,19,3,40,0.0,1015,30,10,145,11
2010-01-27,30,21,0.0,11.1,7,7,82,03:20 PM,04:14 AM,07:17 AM,06:26 PM,13,27,27,26,12,9,46,0.0,1015,30,10,145,7
2010-01-28,28,21,0.0,11.1,6,6,90,04:26 PM,05:16 AM,07:16 AM,06:26 PM,13,26,26,25,9,7,47,0.0,1015,28,10,204,6
2010-01-29,29,20,0.0,11.1,6,6,97,05:36 PM,06:13 AM,07:16 AM,06:27 PM,12,26,26,25,18,2,46,0.0,1015,29,10,177,11
2010-01-30,30,22,0.0,11.1,7,7,100,06:44 PM,07:05 AM,07:16 AM,06:27 PM,12,26,26,26,17,5,43,0.0,1015,30,10,150,10
2010-01-31,29,22,0.0,11.1,6,6,100,07:50 PM,07:52 AM,07:16 AM,06:28 PM,14,27,27,26,10,4,49,0.0,1015,29,10,219,7
2010-02-01,28,21,0.0,11.1,6,6,77,08:53 PM,08:35 AM,07:15 AM,06:29 PM,15,26,26,25,11,5,54,0.0,1014,28,10,256,7
2010-02-02,28,20,0.0,11.1,6,6,69,09:54 PM,09:16 AM,07:15 AM,06:29 PM,16,26,26,25,10,2,56,0.0,1013,28,10,257,6
2010-02-03,29,20,0.0,11.2,6,6,62,10:54 PM,09:57 AM,07:15 AM,06:30 PM,15,27,27,26,12,1,54,0.0,1013,29,10,210,8
2010-02-04,28,21,0.0,11.2,6,6,54,11:53 PM,10:37 AM,07:14 AM,06:30 PM,18,27,27,25,11,2,63,0.0,1014,28,10,230,8
2010-02-05,29,21,0.0,11.2,6,6,47,No moonrise,11:20 AM,07:14 AM,06:31 PM,17,27,27,25,9,4,63,0.0,1014,29,10,190,6
2010-02-06,31,22,0.0,11.2,7,7,39,12:52 AM,12:04 PM,07:13 AM,06:32 PM,16,28,28,27,12,12,53,0.0,1015,31,10,196,7
2010-02-07,31,24,0.0,11.2,7,7,32,01:49 AM,12:52 PM,07:13 AM,06:32 PM,16,29,29,28,14,7,48,0.0,1014,31,10,163,8
2010-02-08,29,22,0.0,11.2,7,7,24,02:45 AM,01:43 PM,07:12 AM,06:33 PM,17,27,27,26,17,16,59,0.0,1012,29,10,263,10
2010-02-09,27,22,0.0,11.2,6,6,16,03:38 AM,02:35 PM,07:12 AM,06:33 PM,18,27,27,25,15,4,65,0.0,1012,27,10,277,9
2010-02-10,28,21,0.0,11.2,6,6,9,04:26 AM,03:28 PM,07:12 AM,06:34 PM,15,26,26,24,16,7,57,0.0,1012,28,10,306,11
2010-02-11,29,21,0.0,11.2,6,6,1,05:11 AM,04:21 PM,07:11 AM,06:34 PM,15,26,26,25,10,14,56,0.0,1013,29,10,223,7
